"ID","StudentID","Date","MealID","MessID","IsManualAttendance","ManualAttendanceLogID","CreatedTime"
"576049","4994","2025-01-30 19:15:07","3","30","0","0","2025-01-30 21:09:59"
"576048","4455","2025-01-30 19:15:01","3","30","0","0","2025-01-30 21:09:58"
"576047","4532","2025-01-30 19:14:50","3","30","0","0","2025-01-30 21:09:56"
"576046","4456","2025-01-30 19:14:45","3","30","0","0","2025-01-30 21:09:55"
"576045","5136","2025-01-30 19:14:34","3","30","0","0","2025-01-30 21:09:55"
"576044","4950","2025-01-30 19:14:29","3","30","0","0","2025-01-30 21:09:54"
"576043","5017","2025-01-30 19:14:16","3","30","0","0","2025-01-30 21:09:53"
"576042","4953","2025-01-30 19:14:10","3","30","0","0","2025-01-30 21:09:52"
"576041","4847","2025-01-30 19:14:05","3","30","0","0","2025-01-30 21:09:51"
"576040","4720","2025-01-30 19:13:58","3","30","0","0","2025-01-30 21:09:51"
"576039","4890","2025-01-30 19:13:53","3","30","0","0","2025-01-30 21:09:50"
"576038","4760","2025-01-30 19:13:48","3","30","0","0","2025-01-30 21:09:49"
"576037","4776","2025-01-30 19:13:43","3","30","0","0","2025-01-30 21:09:48"
"576036","5279","2025-01-30 19:13:37","3","30","0","0","2025-01-30 21:09:47"
"576035","4829","2025-01-30 19:13:24","3","30","0","0","2025-01-30 21:09:47"
"576034","5241","2025-01-30 19:13:18","3","30","0","0","2025-01-30 21:09:46"
"576033","4701","2025-01-30 19:13:11","3","30","0","0","2025-01-30 21:09:45"
"576032","4751","2025-01-30 19:13:06","3","30","0","0","2025-01-30 21:09:44"
"576031","4477","2025-01-30 19:13:02","3","30","0","0","2025-01-30 21:09:44"
"576030","5284","2025-01-30 19:12:57","3","30","0","0","2025-01-30 21:09:43"
"576029","4916","2025-01-30 19:12:53","3","30","0","0","2025-01-30 21:09:42"
"576028","5009","2025-01-30 19:12:31","3","30","0","0","2025-01-30 21:09:41"
"576027","5196","2025-01-30 19:12:26","3","30","0","0","2025-01-30 21:09:41"
